no|title|text|senti_value
2736|Q|Q|1
2742|pengiriman lambat|"Blibli kalo bisa jangan kerja sama dengan jasa pengiriman etobee, aku biasa beli di Blibli lewat JNE cepet banget nyampe nya cuma 2 hari barang pesanan sudah sampai di rumah, beberapa hari yg lalu aku pesan lagi cuma beda nya aku di rekomendasikan menggunakan jasa etobee ebuset sampe hari ini barang pesanan ngga dateng"", udah telpon cs katanya barang sudah siap dikirim tinggal tunggu dari jasa pengiriman, hadeeehh.. fokus di pengiriman, kalo pengiriman nya bisa cepet pasti banyak yg belanja di Blibli, tapi kalo masih lambat pasti pada lari ke toko sebelah yg pelayanan nya lebih baik, salam.."|2
2750|saya mau pesan hp tapi apakah|saya mau pesan hp tapi apakah harus dibayar dulu baru dikirim barangnya takutnya nnti kalo udah bayar barangnya tidak sampai, dan jika ingin kredit apakah barang tetap dikirim sdangkan uangnya belum lunas?|1
2751|Sangat buruk|Saya gak akan beli lagi di tempat ini pelayanan gak bisa tanya ke penjual dan pengiriman sangat lama.ke bekasi aja hp bisa 4 hari.mesin cuci udh 15hari sampai saat ini belum sampai juga Parah..buat yg beli jgn mau beli di tmpt ini|1
2758|confused|saya baru daftar, kemudian ada verifikasi no.hp. kode akan di kirim lewat zmz tapi saya tunggu-tunggu tidak ada kode yg masuk. mohon solusinya yang AKURAT|1
2760|dah percaya Bl|Belum kepikir untuk ke yg laen|2
2766|mahal|mahal2 euy|1
2779|BAD|Tanggal 330 Januari 2017 saya memsan NO PESANAN: [private info removed] salah produknya WD40 Specialist Contact Cleaner [360 mL] , saya tau barang ini engga bakal bisa dikirim via udara, tetapi sampai saat ini saya belum menerima pesanan saya tersebut ( sudah melewati estimasi dari BLIBLI, jika Rekanan Logistik Blibli konfirmasi ke BLIBLI dan BLIBLI konfimasi ke saya, pasti pun saya setuju kalau hanya bisa dikirim via Jalur Darat, tetapi ini tidak ada informasi/konfirmasi baik by phone/email kepada saya, malah saya yg nanya2 mulu ke CS BLIBLI, ticket pun sudah dibuat CASEMGMT-15214556, saya tanyakan lagi di hari berikutnya di melalu web chat Blibli di jawab oleh CS yg bernama Gery, cuman jawabannya wah very bad selalu membela bela tim terkait karena saya tanyakan ke profesional kerja TIM Terkaitnya itu tentang laporan yg saya buat sebelumnya, katanya cuman bukan barang pesanan saya bermasalah ada banyak, penanggung jawab cuman 1 orang berarti ya banyak dong barang bermasalah, belum ada info tentang barang yg sampai tulisan ini saya buat.|1
2794|itemnya|TERBATAS|1
2795|Harga kemahalan.|Harga kemahalan|1
2800|mahal|mahal|2
2804|Pengiriman Blibli Express Service (BES) lama|"Saya melakukan tranksaksi pada tanggal 1 Februari 2017 dengan no. order [private info removed]. Pesanan tersebut dikatakan pada status pesanan saya sudah ""dalam pengiriman"" terhitung tanggal 2 Februari 2014 dimana seharusnya status itu menunjukkan barang tersebut sudah dalam pengiriman oleh kurir. Sampai hari ini tanggal 4 Februari 2017 saya masih belum menerima barangnya. Saya lebih kecewa lagi dengan jawaban customer service yang berbeda-beda. Saya menghubungi cust service blibli melalui fasilitas live chat. Cust service pertama mengatakan ""barang tersebut akan dikirim hari ini"", cust service kedua mengatakan ""silahkan menunggu, kemungkinan hari sabtu atau minggu"", cust service ketiga ""barang tersebut di hold sampai hari senin"". Padahal saya sudah katakan sejak cust. service kedua mohon bantuannya karena barang tersebut saya hendak berikan sebagai hadiah Ulang Tahun Adik saya pada tanggal 3 Februari 2017 dan ternyata barang tidak dikirim dan di hold sampai Senin. Saya sangat kecewa sekali terhadap pelayanan proses pengiriman ini (kirim Jabodetabek), lebih baik saya bayar dengan jasa pengiriman lain dibanding kata Express Service yang ternyata tidak benar. Mungkin terakhir kalinya saya belanja di blibli. Terima kasih."|1
2848|mahal|Harga lebih mahal dgn barang yang sama|1
2860|Kecewa|Data pengiriman tak sesuai,katanya hampir sampai Eh pas diconfirm ke Kurirnya katanya belum ada antaran Mana yg benar? Alhasil barang gak tau kapan Sampenya|2
2885|Great Company|Di Bukalapak saya dpt memperoleh barang2 cukup berkualitas, dg garansi yg dpt dipertanggungjawabkan|1
2886|Haven't a clue who they are:-(|Haven't a clue who they are:-(|1
2888|Tri nur|Saya kecewa jika mengganti barang tanpa konfirmasi|2
2894|Performa customer service menurun drastis|Sudah menjadi pelanggan bukalapak lebih dari 3 tahun, baru merasa kali ini respon dari customer service tidak ditanggapi dengan serius. Sudah melaporkan lebih dari seminggu tidak ada jawaban sama sekali, berbeda dari tahu-tahun sebelumnya respon dan tindakan yang diberikan sangat cepat dan baik.|2
2896|Service for bukalapak|Sy pernah kecewa belanja di bukalapak, lantaran Pihak Ekspedisi JNE yg nyasar alamat, Plus Nyasar lg ke orang lain, yg namanya sama, tp nomor Hp n almtnya beda. SARAN:bukalapak konfirmasikan dulu, apa betul2 barang sdh sampe ke tepat sasaran, bukan ikuti pihak KURIR dan Si Penjual sj. Yg kesimpulanya transaksi BELUM selesai tapi DIANGGAP selesai, ini yg membuat sy kesel. Belanja online kok jd repot mondar-mandir ke JNE dan tanpa ada dukungan dr bukalapak|2
2908|Tidak aman|Bukalapak sangat tidak aman jika trjadi masalh antara pembeli dan penjual mereka tidak profesional. Keputusan diambil bukan berdasarkan bukti tapi berdasarkan mood admin saja masih bagus tokopedia|1
2913|Unsupported Customer Service !|Sebagai penjual yang sudah menjadi pelapak dari tahun 2013, baru kali ini kami menemukan kendala dimana customer service Bukalapak tidak ada tindakan sama sekali terhadap laporan yang diberikan ! Laporan dibuat berdasarkan adanya PLAGIAT produk dari 4 user yang berbeda dan laporan dibuat per tgl 30 Januari. Setelah laporan dibuat diterima e-mail balasan yang menyatakan akan ditindak lanjuti ( hanya 1 dari 4 laporan yang mendapat feedback ) tetapi sampai hari ini per tgl 3 Februari tidak satupun user yang melakukan plagiat di tutup akun ! Mereka masih tetap aktif ! Customer service sampah ! lebih tepat merubah nama menjadi : UNSUPPORTED CUSTOMER SERVICE !!|1
2922|Tingkatkan kualitas pemesanan!!|Sangat Kecewa dengan pesanan yg lama sampai,tdk sesuai dgn request jasa pengiriman yg di bayar!!|1
2925|sangat*****|Sangat[inappropriate content removed]saya pernah transaksi dibukalapak, saat itu barang diretur oleh jasa pengiriman ke pengirim / penjual tapi oleh bukalapak uang saya tetap diberikan kepada penjual, padahal jelas dalam tracking juga jelas diretur.|1
2934|Sorry to say, karena anda mendukung penista agama, goodbye!|Maaf anda mendukung penista agama.|1
2943|Bantuan BURUK|"Saya 2hari yang lalu ada isi saldo dompet bukalapak, Dengan saldo 10.000, namun sesuai prosedur yg di tentukan oleh Bukalapak harus bayar dengan harga 10.703 Saya karena buru"" lupa memasukan angka terakhir (703) setelah itu saya ingin menulis bantuan di Bukalapak, tetapi selalu gagal, tulissnya ""seingat saya"" (Anda harus mengisi form, kurang lengkap) sudah coba 6x lengkap"" namun ttp tidak bisa, sangat buruk dalam hal bntuan, coba lah dimasukan no yang bisa di hubungi saya tau 10.000 tidak ada apa""nya buat kalian, namun tolong kalau memang lama di verifikasi setidaknya di kasi tau ke alamat email saya , jadinya saldo dompt saya tidak bertambah sama sekali sampai sekarang, Mohon diperhatikn lagi dalam hal BANTUAN kalian, Karena saya kemarin tidak mendapat BANTUAN dari pihak admin sama sekali, haNya membaca instruktur yg telah di berikan saja tidak cukup. Makasi ."|1
2983|a|vvv|1
2996|Sangat mengecewakan|Kampanye.|1
3012|terlalu banyak barang di larang yg di jual|banyak sesama pelapak saling menjatuhkan dengan produk yg sama dengan cara laporkan barang|1
3028|parahhh|parahhh dan payah main blokir aja akun saya, duit jg ga dipulangin. Dendam-an loe Bukalapak payahh lahh. hati2 guys yg belanja, duit saya 6jtan diblokir ga direfund. web apaan tuh, nilep duit org giliran dikomplen malah disuruh datang memangnya mau ribut apa wkwkw|1
3031|Bukalapak mantaffff,,,|Baik y barang aman dana konsumen aman,[inappropriate content removed]y klau bisa konsumen d beri komisi per transaksi.... itu aja !!!!|2
3057|Tidak memuaskan|Pelayanan penjual perlu di tingkatkan lagi|1
3099|promo palsu|nego harga hanya berkurang 5000 dari harga barang yg lebih dari sejuta|1
3101|Sistem pwmbayaran klik bca belum tersedia yang lainnya sudah ad|Har|1
3138|Sangat mengecewakan!|Review pelanggan otomatis diinput 5 bintang bila pembeli tidak memberikan rating, menurut saya itu tidak adil, bs menjadi panduan yg salah buat calon pembeli. Produk yg diterima jg tidak sesuai dengan deskripsi dr penjual dan penjual tidak bertanggung jawab sama skali bahkan tidak menghiraukan sama sekali pertanyaan dan protes dari pembeli. Penanganan pihak bukalapak pun lambat dan tidak memberikan solusi. Sangat mengecewakan!|1
3220|2x transaksi Gagal|Bukalapak yang terhormat. Beberapakali saya melihat iklan anda di TV. Dan saya berminat untuk membuka lapak di tempat anda. Sangat di sayangkan... 2x transaksi yg di lakukan pembeli di batal kan. Kami tau, penyebab nya adalah kesalahan dari kami memasukkan resi. Dimana pembeli pada saat itu menggunakan Pos Indonesia. Saya masih bingung, mengenai yang manakah nomer resi nya. Jadi saya salah input. Karna tidak selalu stand by di HP.. (yg katanya pihak buka lapak mengkonfirmasi bahwa nomer resi yang saya input adalah salah) Setelah saya cek sekian lama... Tidak ada uang yabg masuk di dompet saya. Padahal status di terima oleh pihak pembeli. Saya telphone pihak bukalapak. Yang bikin saya terkejut... Begitu dapat konfirmasi tentang salahnya nomer resi, dan tidak ada tanggapan. Maka uang di kembalikan pada pembeli.... Dan pihak bukalapak menyaran kan untuk saya mengabari pembeli dan mentransfer uang nya kembali ke pihak bukalapak, baru di teruskan kepada saya. Esok nya saya tlp, di angkat. Dan pembeli bilang akan segera transfer... Saya tunggu tunggu beberapa haripun tak kunjung ada perubahan. Saya telphone lagi tak pernah di angkat setelah itu. Berbeda dengan pesaing anda, yang jauh lebih pengertian... Ketika kita salah memasukkan nomer resi, maka pesaing anda akan memantau terus. Apakah barang nya sampai ke pembeli atau tidak. Begitu pembeli menyatakan konfirmasi penerimaan barang. Uang pun masuk ke account saya... Ingat kesalahan itu manusiawi koq. Hanya saja, saya merasa kapok dengan berdagang di tempat anda.... Terima Kasih|1
3225|jelek.|[inappropriate content removed]masih banyak kekurangan. Pihak bukalapak tidak bisa dihubungi/tepl. Pelapak tidak respon terhadap pesan apabila kita salah dalam pencantuman alamat sudah kita kirim pesan tetapi tidak di respon. Contoh untuk transaksi[private info removed]. Sudah kita kirim pesan salah alamat tetapi tetap saja dia kirim ke alamat yang salah padahal sudah kita kirim pesan untuk dikirim ke alamat yang benar tetapi tidak direspon. Mau dihubungi bukalapak tidak ada call center.|1
3290|saya kecewa dengan adminbbuka lapak posting tentang penista agam|Postingan tentang ahok sang penista agama, kemarin sempat jadi trending. Mengecewakan!|2
3301|Solusi kepada Customer Sangat Perlu Ditingkatkan !!|"Transaksi terakhir saya sebagai Customer memberikan pengalaman yang buruk & berakibat kerugian yang cukup besar. Hal tersebut karena Order yang tidak diproses oleh Penjual dan dibatalkan sepihak oleh Penjual. Tapi dana saya tidak dikembalikan secara utuh. Alternatif Pencarian barang sejenis dari Supplier Lainpun tidak dijalankan. Customer Service tidak bisa memberi solusi walaupun telah saya laporkan berkali-kali. Sangat Tragis karena BL malah MEMBELA Penjual yang dalam hal tersebut terindikasi ""Penipu"""|1
3306|Dapet bug|Pernah udah bayar dan udah terverifikasi otomatis.. terus tiba2 berubah jadi blm bayar.. customer service tidak respon...|1
3333|saya kecewa karena dana saya tidak bisa ditarik|account email saya [private info removed]|1
3336|Komplain expired tidak ada solusi|"Saya tertarik dengan batu akik yg dijual pelapak bernama PAKAR BACAN dengan judul ""BACAN DOKO GULAUsuper bigsize"". Begitu tertariknya saya, saya langsung beli 4 biji plus dikasih bonus 1 biji jadi total dapat 5 biji dari pembelian 4 biji. Saya melakukan tes lab di Gem Afia Bandung ternyata hasilnya BUKAN Bacan seperti judul barangnya melainkan Calsedoni yang diberi warna yang sangat sempurna. Nomor transaksi saya [private info removed]. Mohon saran dan petunjuk dari BukaLapak agar uang saya dikembalikan ke saya dan barang yang tidak sesuai judul saya kembalikan juga. Saya tinggalin Laz*** demi BukaLapak. Saya butuh Test Lab sehingga komplain saya berdasarkan fakta. Tapi karena komplainnya kadaluarsa jadi Bukalapak tidak bisa memberikan solusi. Saya khawatir akan muncul Juragan Tipu di BukaLapak. Saya tidak ingin ada korban lagi. Saya tetap belanja di BukaLapak. Mangga di cek transaksi saya. Baru kali ini saya yakini ada indikasi penipuan. Terima kasih"|1
3339|Bukalapak tidak dapat melindungi nasabahnya dengan sempurna.|Pesanan CCTV TP Link NC 220 yang dikirim TP LINK NC 200 yang harganya jauh lebih murah. Konyol.|1
3343|Kenapa penilaian saya buruk untuk Bukalapak?|"Karena Bukalapak secara terang-terangan mengkampanyekan dukungan terhadap si penista agama ""Ahok"""|1
3360|tidak netral|Saya tidak suka sebuah perusahaan tidak netral dalam pilkada DKI... Ingat.! Pengguna jasa anda tidak hanya dari 1 golongan. Sebaiknya Bukalapak saya boikot....!|1
3362|rumit|tampilan gak friendly|2
3368|Bukalapak Tidak Fair|Dalam penyelesaian case dimana pelapak sudah terbukti merugikan konsumen, bukalapak lebih memilih solusi yg menguntungkan pelapak dan sangat sangat sangat merugikan konsumen. Not Recomended belanja di Bukalapak kecuali siap dengan apes..|1
3435|proses fraud nya lama|menahan buka dompet sampai 8 hari lebih dan tidak ada jawaban email tapi di balasnya malam hari|1
3452|Banyak penipu|Bukalapak|2
3499|Kurang bisa ngawasai pelapak nakal|Cek lebih teliti pelapak, terutama pada barang pesanan. Banyak yang mengecewakan|1
3545|"Sangat tidak professional terhadap ""mantan konsumen"""|"Sangat menggangu privasi email ""mantan"" konsumen dan tidak professional. Menghalalkan segala cara untuk kepentingan maksimisasi profit perusahaan, tidak peduli dengan kenyamanan ""mantan"" konsumen. Shame!"|1
3580|Very Bad Customer Service|CS nya cuek banget jawab cuma sepatah dua patah, di telpon malah suruh lewat Email kan ngeselin. Mohon kantornya ditutup saja kalau CS nya tidak bisa melayani dengan baik. SANGAT KECEWA|1
3581|Seller dirugikan|Hati-hati kalau berjualan di bukalapak..kalau tidak, bukannya untung malah rugi Customer service bukalapak juga ngeselin..sistem dan timnya buruk|1
3605|bukalapak tidak profesional|Pernah menjual jam tangan, setelah barang terkirim ke pembeli, pembeli bilang katanya batere mati padahal saya yakin banget jam tangan masih berfungsi dengan baik. Ujung2nya pembeli ingin minta ganti rugi sebesar 500rb untuk biaya ganti batere. Setau saya batere paling mahal aja paling 150rb. Nah yang disesalkan pihak bukalapak memihak sepihak ke si pembeli tanpa ada diskusi dengan seller dan langsung menahan dana. Ujung2nya ane harus dipotong 500rb langsung dari bukalapak. Kapok jualan si bukalapak.|1
3616|CS paling buruk yang pernah ada|Saya beli barang di BL dan yang di kirim tidak sesuai pesanan, mau proses return cuma di suruh kirim balik barang, masalah dana (akan di refund) tapi ongkir balik ditanyain cuma jawab itu urusan Anda dengan pelapak. Enak banget ya.... kita gak salah di suruh nanggung ongkos kirim, harusnya pelapak yang nanggung biar gak boongin buyer. CS kayak spir Mikrolet kejar setoran, di tanya 3 pertanyaan jawabnya cuma 1, di tanya lagi jawabnya gak lengkap lagi. Malas deh....... BL cuma branding yang bagus... beda banget isinya, Hotline di telpon ampe pegal juga gak bakal nyambung.|1
3617|Barang yang dikirim tidak sesusai|Barang yang dikirimkan tidak sesusai dengan yang dipesan, paraah!|1
3630|Terrible customer service !!|Sudah mengajukan laporan mengenai adanya pelanggaran terhadapa penjual yang menggunakan gambar dan deskripsi copy paste dari lapak saya, tetapi tidak pernah ada feedback dari customer service. Jadi buat apa ada customer service, lebih baik ditutup saja !!|1
3639|Kecewa|"Saya pesan sebuah Planner seharga Rp. 97.100 (ditambah ongkir jadi Rp. 106.100) di lapak ""chila stationery"" tanggal 25 Desember 2015 pukul 15.17. Tadinya saya antusias karena seller tampak aktif dan muncul saat saya melakukan search (setahu saya di bukalapak ini kalau seller nya nonaktif tidak akan muncul di search) jadi saya langsung lakukan payment saat itu juga. Setelah saya tunggu sampai tanggal 28 Desember 2015, kok status pesanan saya tetap belum berubah? Berarti seller tidak menanggapi. Saya pun coba message seller melalui fitur di website, tetapi tidak ada jawaban. Sayapun email ke Customer Service agar pesanan saya dibatalkan saja (supaya uang bisa di refund dan saya bisa beli di tempat lain), tetapi jawaban CS adalah saya diminta menghubungi seller agar seller membatalkan pesanan, atau saya diharuskan menunggu 4x24 jam agar pesanan saya otomatis batal. Logika aja, bagaimana caranya saya menghubungi seller sedangkan di message saja tidak dibalas? Di halaman lapaknya juga tidak ada info no telpon seller. CS sama sekali tidak membantu. Akhirnya terpaksa saya menunggu sampai 4x24 jam (jatuh di hari ini 29 Desember 2015 jam 15.17) dan memang dana direfund ke akun bukadompet saya. Dan untuk mencairkan dana butuh waktu 1 hari kerja. Untuk saya ini berbelit-belit, apalagi mengingat jadwal cut off bank nasional di tengah-tengah libur panjang begini... Masa saya harus tunggu sampai tahun 2016 baru dana saya kembali? Saya harap dana saya bisa cair ke rekening saya besok (30 Desember 2015). Dan ini sepertinya akan menjadi pengalaman terakhir saya belanja di bukalapak.com."|2
3641|Masih pelit|Saya berkali kali bahkan hampir 25 kali transaksi.. Gx pernah ada kabar dapat bonus, chash, vocer, dll.. Menurit aku sangat pelit. Harga nego pun hanya 4000 perak,.. Buat apa itu.. Masak negonya dikit.. Dan saya minta ada nego lebih dari 20 ribu.. Ini masih sangat lemah dan kalah saingan.. Yg lain ongkir aja di tanggung..|1
3655|Beberapa kali transaksi melalui bukalapak mengecewakan|Promo terakhir program nego harga mengecewakan|2
3657|Tob markotob|"Secara keseluruhan BUKALAPAK menjadi trend baru belanja online, terpecaya, anak muda banget dan selalu menjaga reputasinya. Tapi saya perhatikan, makin kesini banyak seller2 ""sampah"" yang mencoba mencari rejeki di BUKALAPAK ini. Akan semakin baik kalau team BUKALAPAK lebih ketat mem""filter"" seller2 tersebut demi menjaga reputasi itu sendiri. Selebihnya, cuma 1 kata yang bisa saya ungkapkan disini, KEREEEEEEEN..."|2
3663|lambatnya pesanan datang dan diterima pemesan|sudah 10 hari lebih dari tanggal 02 hingga 13 oktober 2014 pesanan barang saya belum datang juga ini membuat pelanggan seperti saya yang beru pertama kali pesan barang di bukalapak khawatir akan kehilangan uang atau dana transfer yang sudah kami kirimkan. sebenarnya keterlambatan pengirimannya dimana apakah kurir jasa pengiriman atau alamat saya yang kurang jelas. tolong dikonfirmasi pelanggan atau saya jika ada keterlambatan supaya ada kepastian saat menunggu datangnya kiriman barang pesanan di 082331107272|2
3717|Ukuran tdk sesuai|Sy beli barang di aneka selang. Seragam pengawas spbu.ukuran nya sangat kecil tidak sesuai dengan standar ukuran.mhn kedepan di perhatikan agar tdk mengecewakan konsumen|1
3718|Tak terpercaya|Bukalapak tidak membantu saat dilaporkan ada penjual palsu. Status dikirim pada hari minggu, status selesai pada hari selasa dgn membajak akun bukalapak saya sehingga penjual mengkonfirmasi penerimaan barang pk 7.58 pagi. Saya lgsg laporkan pk 9.30-an. Bukannya memblockir, bukalapak membalas jam 2-an dgn pemberitahuan dana sudah dicairkan dan tidak ada penggantian dana. Mending jangan beli di bukalapak.|1
3723|ok|cepat kirimanya|1
3728|Sering menahan dana seller|Sering menahan dana seller,sehingga membuat seller takut membuka toko di e commerce ini|1
3733|Not bad|Not bad|2
3734|Setelah di review pelapak hapus barangnya!|Beli foglamp garnish karet FU avanza veloz di pelapak #Psd Motor purwakarta, barang cacad, gk pass di pasang, hasil cetakan berantakan! Beli Bohlam baru pake 3 hari udah mokad. barang gk jamin bagus, beli kucing dalam karung, jangan pernah beli online walaupun feed backnya bagus bagus. Buktinya setelah di review bintang satu, pelapak malah hapus barangnya..ganti judul baru ... percuma review di bukalapak!..yang diliatin yang bagus bagus daonk!!|1
3739|Sistem tidak effisien|Sebagai pelapak yang sudah menjadi member ebih dari 3 tahun sangat kecewa dengan sistem Bukalapak terutama menggunakan jasa pengiriman Go-send dimana pelapak diperlukan membayar ongkir dimuka padahal seharusnya dibuat sistem dimana pemotongan ongkir akan DIPOTONG secara OTOMATIS dari transaksi tersebut jadi pelapak tidak perlu memberikan ongkir dimuka karena hal ini sangat tidak effisien dan menyita waktu.|1
3742|Penjualnya mengirimkan produk cacat & ribet cara untuk claimnya|Penjualnya mengirimkan produk cacat dan ribet cara untuk claim-nya|2
3749|buat barang saya dibukalapak..|Mohon bukalapak kembalikan barang saya yg ada dibukalapak.. Udah lama barang saya dibukalapak gk ada info nya lagi.. Buat agen bukalapak tolong lah kembalikan...|1
3756|Suruh bayar barang yg habis terjual|Suruh bayar tapivbarang so yerjual kepada yg lain|1
3765|jual-beli kurang aman dan kurang terpercaya|tak berlebihan dengan jawaban saya di atas. beberapa minggu lalu saya mencoba berbelanja kebutuhan di bukalapal.com dengan membeli 30 buah telur plastik yang di keterangan saya tuliskan semuanya warna merah. tapi setelah 5 hari order dan barang sampai kemudian saya terima dan buka kemasan, hanya ditemukan 18 telor plastik. bukan 30. dan yang berwarna merah hanya ada 12 buah. sisanya warna-warni. ketika itu saya ingin protes tapi belum ada waktu. setelah berjalan 3 hari akhirnya saya menyempatkan untk protes. namun yang terjadi adalah, bukalapak.com telah mengisi review konsumen atas nama saya dengan jawaban otomatis. entah jawaban yang diberikan apa. di situ saya sangat kecewa. karena para pelapak yang saya yakini akan menunjukkan integritasnya sebagai pelapak, justru melakukan kecurangan yang tidak terhormat. siapakah yang harus bertanggungjawab dalam kasus yang saya alami ini? terimakasihh.|2
3771|Sistem BukaDompet Menyulitkan & Solusi Pelanggan Jelek|SANGAT TIDAK RECOMMENDED DAN MENGECEWAKAN Kondisi saya: saya mempunyai akun di bukalapak dengan login menggunakan facebook Saya melakukan transaksi dengan No Transaksi #[private info removed]. Singkat cerita transaksi ditolak dan uang saya dikembalikan dalam bentuk saldo BukaDompet. Ketika saya ingin menarik saldo tersebut, ternyata saya harus memasukkan password login bukalapak. Karena saya login via facebook, otomatis saya tidak mengetahui password saya. Dan ketika saya ingin reset password, ternyata email yang terverifikasi adalah email facebook yang sudah tidak aktif lagi karena sudah lama tidak saya pergunakan. Kemudian saya mencari solusi melalui Call Center Bukalapak. Tapi saya tidak menemukan solusi yang cepat padahal saya butuh dana tersebut cepat. Saya disuruh mengirim email terlebih dahulu yang menurut saya prosesnya terlalu berbelit. Padahal saya butuh dananya cepat. Yang saya sangat kecewa, 1. Kenapa email saya terverifikasi padahal saya belum memverifikasi email tersebut (standarnya, proses verifikasi email adalah kita dikirim email verifikasi kemudian kita memverifikasi dengan klik link tertentu) 2. Proses verifikasi terlalu berbelit dan menyulitkan saat tarik saldo dan penggunaan saldo BukaDompet. Verifikasi dilakukan 2 kali (password dan telp) 3. Customer Care tidak bisa memberikan solusi cepat untuk pelanggan|1
3772|Gunakan sistem yang mempermudah penjual!|Bukalapak, banyak diantara penjual kalian di website adalah dropshipper, sebagai dropshiper, untuk mendapatkan nomor resi dari supplier sangat sulit ada juga yang mudah. Dengan sistem kalian yang mengembalikan dana ke pembeli seenaknya hanya karena resi tidak valid hanya merugikan Penjual! karena pada dasarnya setiap pesanan yang masuk, dropshiper ini akan mengoper orderan ke supplier, dan harus menunggu nomor resi, apalagi batas kalian hanya 2 hari tidak seperti marketplace sebelah yang sangat menguntukan penjual maupun pembeli. Saya sudah 2 kali dana dikembalikan seenankny, seharusnya kalian MENELEFON PEMBELI DAHULU APAKAH SUDAH MENERIMA BARANG ATAU BELUM! JANGAN LANGSUNG MENGEMBALIKAN DANA HANYA KARENA RESI TIDAK VALID PARA PENJUAL MAUPUN DROPSHIPPER HANYA AKAN RUGI BERJUALAN DI BUKALAPAK Sekarang dana saya sudah dikembalikan ke pembeli, lalu saya tidak bisa menghubungi pembeli, bagaimana jika terjadi banyak kasus seperti ini? anda hanya akan kalah dengan marketplace lain yang sangat menguntungkan penjual, dropshipper dll|1
3773|Lapak barang palsu|Bikin malu, masak situs resmi jual barang palsu|1
3774|Barang Palsu di lindungi Customer Service dan tetap dijual.|Saya membeli JBL Speaker Micro Wireless di Bukalapak dengan pelapak Lapak Gadget. Dijanjikan Barang OEM. Namun barang ternyata palsu sama sekali, pelapak menjelaskan bahwa OEM artinya palsu. Jelas Lapak Gadget menyalah gunakan arti OEM. Ketika komplain di customer service, tanggapan sangat tidak profesional dan hanya melindungi pelapak barang palsu. Sampai saat ini mereka tetap menjual dan mengiklankan barang tersebut, mohon YLKI dan pemegang merek JBL menindak toko Lapak Gadget dan Bukalapak.com|1
3778|Customer Service buruk sekali!|Transaksi [private info removed] kartu kredit di debet dua kali, tapi customer service tidak tanggap, lelet, lemot dalam menyelesaikan masalah! Melemparkan masalah ke pihak bank penerbit kartu. Padahal masalahnya ada di sistem bukalapak!|1
3779|refund barang retour tidak ada follow uput|"Pesanan sampai cepat, tapi barang (green tea) bau minyak tanah. Kesepakatan dengan penjual, barang dikembalikan semua. Setelah dikembalikan dan menjawab pertanyaan dari bukalapak, bahwa seluruh barang dikembalikan, tidak ada kabar beritanya. Status retour juga sudah diterima oleh penjual. Telpon ke CS hanya disuruh kirim email ke alamat email yg katanya memang tidak diumumkan dan harus telpon ke CS. Ternyata memang proses retour sengaja dipersulit dan tidak transparan. Saya sampaikan, apakah bukalapak mengharapkan customer lupa atau ""mengiklaskan"" dananya? dijawab: ""itu terserah anda...""... jawaban yg hebat dari CS bukalapak."|1
3782|Biasa saja|Terlalu banyak pelapak dgn harga yg betbeda beda.. Malah jdi bingung nawarnya|2
3842|buka lapak perlu meningkatkan profesionalitasnya|buka lapak sgt membantu konsumen mendapatkan brg, tapi buka lapak harus profesional dlm mengatasi klaim, krn itu merupakan bagian perlindungan konsumen|1
3851|Biasa aja|Pelapak kurang profesional, agak sulit berkomunikasi dg provider|2
3941|Mediocre marketware|People sell stuffs in this marketware tend to be more expensive. Bad customer service. Hard to get any response if any error occured.|2
3997|kurang bagus|banyak penjual abal - abal|2
4040|jangan pernah beli barang ber garansi di bukalapak.|jika membeli barang garansi di bukalapak. dan barang tersebut rusak setelah barang di terima. bukalapak lepas tangan tidak akan membantu sama sekali. hanya di sarankan hubungi penjual langsung yang dimana kemanannya sangat di ragukan. saya membeli sony z3+ di no trans [private info removed] dan sudah melapor ke bukalapak dengan no GD0C4142 kronologi: setelah pemakaian 6 hari di temukan kecacatan pada kamera(ada noda hitam hanya keliatan jika di gunakan di kondisi indor dengan objek benda yang berwarna cerah). dan pelapaknya arena gadget( https://www.bukalapak.com/arena_gadget ) kabur tidak mau membantu klaim garansi. dan dari bukalapak dengan entengnya mengatakan barang sudah di konfirmasi terima, sudah di luar tanggung jawab bukalapak. padahal jika mengikuti janji yang di berikan penjual unit barang yang saya beli harusnya bisa di retur dan di ganti unit baru(karena masi di bawah 7 hari setelah barang di terima dan pengajuan komplain. barang di terima tanggal 17 des 2016 dan komplain di tanggal 23 des 2016). dan seandainya pelapak menerima pun saya ragu karena tidak adanya jaminan keamanan bukalapak. kesimpulan: bukalapak hanya cocok digunakan untuk membeli barang non garansi. karena bukalapak engan menjamin keamanan garansi. justru menyuruh hubungi penjual langsung yang justru sangat rawan penipuan(karena tidak adanya pihak ketiga/bukalapak). update: CS nya pun sangat tidak membantu. hanya muter2 mengikuti SOP. tanpa bisa memberikan solusi.|1
4067|Rugi Financial Bila Transaksi Batal|1. Transfer uang ke rekber anda saya dikenakan fee oleh pihak bank. 2. Transaksi Batal Karena Ulah Seller Mau Tarik Uang Kembali kena Fee Oleh Bukalapak. 3. Pakai Kartu Kredit Kena Fee oleh Bukalapak. 4. Stock barang tidak uptodate|2
